,dist,gender,age,educ,race,faminc,marstat,newsint,approval_gov,ideo5,voted_gov
392782,19,Female,54,4-Year,White,50k - 60k,Single / Never Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
392786,52,Female,28,Some College,White,20k - 30k,Single / Never Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
392800,49,Male,86,Post-Grad,White,120k - 150k,Widowed,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
392832,36,Male,80,Some College,White,20k - 30k,Widowed,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
392860,36,Male,83,4-Year,White,Prefer not to say,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
392887,14,Female,33,4-Year,White,Prefer not to say,Married,Some of the time,Never Heard / Not Sure,Liberal,[Democrat / Candidate 1]
392899,13,Male,69,Post-Grad,White,150k+,Married,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
392971,53,Female,70,2-Year,White,Prefer not to say,Married,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1]
392998,47,Female,64,Post-Grad,White,80k - 100k,Married,Most of the time,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1]
393376,23,Female,32,4-Year,White,150k+,Single / Never Married,Most of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1]
393535,27,Female,68,Post-Grad,Hispanic,70k - 80k,Divorced,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
393786,17,Male,60,High School Graduate,White,10k - 20k,Divorced,Most of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1]
393791,52,Male,44,Some College,Mixed,40k - 50k,Married,Most of the time,Disapprove / Somewhat Disapprove,Very Liberal,[Democrat / Candidate 1]
393903,8,Male,66,Some College,White,30k - 40k,Married,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
393910,16,Female,49,Post-Grad,Hispanic,80k - 100k,Single / Never Married,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
393912,12,Male,64,4-Year,White,80k - 100k,Single / Never Married,Most of the time,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1]
393968,7,Male,75,4-Year,White,40k - 50k,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
393970,12,Male,58,Post-Grad,White,150k+,Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
393977,2,Male,84,Post-Grad,White,100k - 120k,Widowed,Most of the time,Disapprove / Somewhat Disapprove,Moderate,[Republican / Candidate 2]
394011,13,Male,74,Post-Grad,White,100k - 120k,Domestic Partnership,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1]
394050,15,Male,85,Post-Grad,Other,150k+,Married,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
394093,8,Male,72,4-Year,White,120k - 150k,Married,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
394118,5,Male,73,Post-Grad,White,120k - 150k,Domestic Partnership,Most of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1]
394171,15,Female,67,4-Year,Middle Eastern,120k - 150k,Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
394251,35,Female,36,4-Year,White,60k - 70k,Single / Never Married,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
394253,50,Female,59,Post-Grad,White,10k - 20k,Divorced,Some of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1]
394258,12,Female,80,4-Year,White,50k - 60k,Widowed,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
394267,50,Female,73,Post-Grad,White,30k - 40k,Single / Never Married,Some of the time,Strongly Approve,Moderate,[Democrat / Candidate 1]
394306,8,Male,82,Some College,Native American,40k - 50k,Widowed,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
394318,8,Male,56,Post-Grad,White,150k+,Married,Most of the time,Disapprove / Somewhat Disapprove,Conservative,[Republican / Candidate 2]
394339,1,Male,68,No HS,White,Prefer not to say,Divorced,Some of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
394345,15,Female,60,Some College,White,120k - 150k,Married,Some of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
394371,33,Male,68,High School Graduate,White,150k+,Married,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
394394,50,Male,76,4-Year,White,100k - 120k,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
394407,39,Male,52,4-Year,White,50k - 60k,Single / Never Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
394410,5,Male,69,Some College,White,120k - 150k,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
394463,50,Male,63,2-Year,White,120k - 150k,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
394466,11,Male,63,Post-Grad,Mixed,80k - 100k,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
394483,17,Male,66,4-Year,White,120k - 150k,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
394484,36,Male,61,4-Year,White,50k - 60k,Single / Never Married,Some of the time,Strongly Approve,Moderate,[Democrat / Candidate 1]
394487,52,Male,55,High School Graduate,White,50k - 60k,Divorced,Most of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1]
394499,16,Male,58,Some College,Other,70k - 80k,Divorced,Most of the time,Strongly Disapprove,Moderate,[Republican / Candidate 2]
394501,32,Male,57,Some College,White,80k - 100k,Domestic Partnership,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1]
394508,46,Female,42,2-Year,White,60k - 70k,Married,Most of the time,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1]
394514,8,Male,60,High School Graduate,White,20k - 30k,Married,Most of the time,Strongly Approve,Moderate,[Democrat / Candidate 1]
394518,46,Female,29,Some College,White,30k - 40k,Single / Never Married,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1]
394532,1,Male,42,Some College,White,30k - 40k,Single / Never Married,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
394533,38,Female,55,4-Year,Hispanic,20k - 30k,Single / Never Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
394555,42,Female,57,2-Year,White,100k - 120k,Divorced,Some of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
394556,12,Male,66,2-Year,Black,150k+,Married,Some of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
394562,12,Male,47,4-Year,White,150k+,Married,Most of the time,Approve / Somewhat Approve,Not Sure,[Democrat / Candidate 1]
394569,29,Male,48,Post-Grad,White,10k - 20k,Single / Never Married,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1]
394574,52,Male,64,4-Year,White,10k - 20k,Single / Never Married,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
394584,7,Male,52,4-Year,White,150k+,Married,Most of the time,Disapprove / Somewhat Disapprove,Very Conservative,[Republican / Candidate 2]
