,dist,cong,gender,birthyr,age,educ,race,faminc,marstat,newsint,approval_gov,ideo5,voted_gov
392782,19,115,Female,1964,54,4-Year,White,50k - 60k,Single / Never Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
392786,52,115,Female,1990,28,Some College,White,20k - 30k,Single / Never Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
392800,49,115,Male,1932,86,Post-Grad,White,120k - 150k,Widowed,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
392832,36,115,Male,1938,80,Some College,White,20k - 30k,Widowed,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
392860,36,115,Male,1935,83,4-Year,White,Prefer not to say,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
392887,14,115,Female,1985,33,4-Year,White,Prefer not to say,Married,Some of the time,Never Heard / Not Sure,Liberal,[Democrat / Candidate 1]
392899,13,115,Male,1949,69,Post-Grad,White,150k+,Married,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
392971,53,115,Female,1948,70,2-Year,White,Prefer not to say,Married,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1]
392998,47,115,Female,1954,64,Post-Grad,White,80k - 100k,Married,Most of the time,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1]
393376,23,115,Female,1986,32,4-Year,White,150k+,Single / Never Married,Most of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1]
393535,27,115,Female,1950,68,Post-Grad,Hispanic,70k - 80k,Divorced,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
393786,17,115,Male,1958,60,High School Graduate,White,10k - 20k,Divorced,Most of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1]
393791,52,115,Male,1974,44,Some College,Mixed,40k - 50k,Married,Most of the time,Disapprove / Somewhat Disapprove,Very Liberal,[Democrat / Candidate 1]
393903,8,115,Male,1952,66,Some College,White,30k - 40k,Married,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
393910,16,115,Female,1969,49,Post-Grad,Hispanic,80k - 100k,Single / Never Married,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
393912,12,115,Male,1954,64,4-Year,White,80k - 100k,Single / Never Married,Most of the time,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1]
393968,7,115,Male,1943,75,4-Year,White,40k - 50k,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
393970,12,115,Male,1960,58,Post-Grad,White,150k+,Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
393977,2,115,Male,1934,84,Post-Grad,White,100k - 120k,Widowed,Most of the time,Disapprove / Somewhat Disapprove,Moderate,[Republican / Candidate 2]
394011,13,115,Male,1944,74,Post-Grad,White,100k - 120k,Domestic Partnership,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1]
394050,15,115,Male,1933,85,Post-Grad,Other,150k+,Married,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
394093,8,115,Male,1946,72,4-Year,White,120k - 150k,Married,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
394118,5,115,Male,1945,73,Post-Grad,White,120k - 150k,Domestic Partnership,Most of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1]
394171,15,115,Female,1951,67,4-Year,Middle Eastern,120k - 150k,Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
394251,35,115,Female,1982,36,4-Year,White,60k - 70k,Single / Never Married,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
394253,50,115,Female,1959,59,Post-Grad,White,10k - 20k,Divorced,Some of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1]
