,dist,gender,age,educ,race,faminc,marstat,newsint,approval_gov,ideo5,voted_gov,voted_gov_num
0,19,Female,54,4-Year,White,50k - 60k,Single / Never Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1],0
1,52,Female,28,Some College,White,20k - 30k,Single / Never Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1],0
2,49,Male,86,Post-Grad,White,120k - 150k,Widowed,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2],1
3,36,Male,80,Some College,White,20k - 30k,Widowed,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2],1
4,36,Male,83,4-Year,White,Prefer not to say,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2],1
5,14,Female,33,4-Year,White,Prefer not to say,Married,Some of the time,Never Heard / Not Sure,Liberal,[Democrat / Candidate 1],0
6,13,Male,69,Post-Grad,White,150k+,Married,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1],0
7,53,Female,70,2-Year,White,Prefer not to say,Married,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1],0
8,47,Female,64,Post-Grad,White,80k - 100k,Married,Most of the time,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1],0
9,23,Female,32,4-Year,White,150k+,Single / Never Married,Most of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1],0
10,27,Female,68,Post-Grad,Hispanic,70k - 80k,Divorced,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1],0
11,17,Male,60,High School Graduate,White,10k - 20k,Divorced,Most of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1],0
12,52,Male,44,Some College,Mixed,40k - 50k,Married,Most of the time,Disapprove / Somewhat Disapprove,Very Liberal,[Democrat / Candidate 1],0
13,8,Male,66,Some College,White,30k - 40k,Married,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2],1
14,16,Female,49,Post-Grad,Hispanic,80k - 100k,Single / Never Married,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1],0
15,12,Male,64,4-Year,White,80k - 100k,Single / Never Married,Most of the time,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1],0
16,7,Male,75,4-Year,White,40k - 50k,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2],1
17,12,Male,58,Post-Grad,White,150k+,Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1],0
18,2,Male,84,Post-Grad,White,100k - 120k,Widowed,Most of the time,Disapprove / Somewhat Disapprove,Moderate,[Republican / Candidate 2],1
19,13,Male,74,Post-Grad,White,100k - 120k,Domestic Partnership,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1],0
20,15,Male,85,Post-Grad,Other,150k+,Married,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2],1
21,8,Male,72,4-Year,White,120k - 150k,Married,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1],0
22,5,Male,73,Post-Grad,White,120k - 150k,Domestic Partnership,Most of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1],0
23,15,Female,67,4-Year,Middle Eastern,120k - 150k,Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1],0
24,35,Female,36,4-Year,White,60k - 70k,Single / Never Married,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1],0
25,50,Female,59,Post-Grad,White,10k - 20k,Divorced,Some of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1],0
