,dist,gender,age,educ,race,faminc,marstat,newsint,approval_gov,ideo5,ownhome,pid3,voted_gov
37822,19,Female,54,4-Year,White,50k - 60k,Single / Never Married,Most of the time,Strongly Approve,Liberal,Other,Democrat,[Democrat / Candidate 1]
37823,52,Female,28,Some College,White,20k - 30k,Single / Never Married,Most of the time,Strongly Approve,Liberal,Rent,Democrat,[Democrat / Candidate 1]
37825,49,Male,86,Post-Grad,White,120k - 150k,Widowed,Most of the time,Strongly Disapprove,Very Conservative,Own,Other,[Republican / Candidate 2]
37826,36,Male,80,Some College,White,20k - 30k,Widowed,Most of the time,Strongly Disapprove,Conservative,Own,Republican,[Republican / Candidate 2]
37828,36,Male,83,4-Year,White,Prefer not to say,Married,Most of the time,Strongly Disapprove,Conservative,Own,Independent,[Republican / Candidate 2]
37829,14,Female,33,4-Year,White,Prefer not to say,Married,Some of the time,Never Heard / Not Sure,Liberal,Own,Democrat,[Democrat / Candidate 1]
37830,13,Male,69,Post-Grad,White,150k+,Married,Most of the time,Approve / Somewhat Approve,Liberal,Own,Democrat,[Democrat / Candidate 1]
37834,53,Female,70,2-Year,White,Prefer not to say,Married,Most of the time,Strongly Approve,Very Liberal,Own,Democrat,[Democrat / Candidate 1]
37837,47,Female,64,Post-Grad,White,80k - 100k,Married,Most of the time,Approve / Somewhat Approve,Very Liberal,Other,Democrat,[Democrat / Candidate 1]
37868,23,Female,32,4-Year,White,150k+,Single / Never Married,Most of the time,Approve / Somewhat Approve,Moderate,Rent,Independent,[Democrat / Candidate 1]
37884,27,Female,68,Post-Grad,Hispanic,70k - 80k,Divorced,Most of the time,Strongly Approve,Liberal,Own,Democrat,[Democrat / Candidate 1]
37908,17,Male,60,High School Graduate,White,10k - 20k,Divorced,Most of the time,Approve / Somewhat Approve,Moderate,Rent,Democrat,[Democrat / Candidate 1]
37909,52,Male,44,Some College,Mixed,40k - 50k,Married,Most of the time,Disapprove / Somewhat Disapprove,Very Liberal,Rent,Other,[Democrat / Candidate 1]
37925,8,Male,66,Some College,White,30k - 40k,Married,Most of the time,Strongly Disapprove,Very Conservative,Rent,Republican,[Republican / Candidate 2]
37928,16,Female,49,Post-Grad,Hispanic,80k - 100k,Single / Never Married,Most of the time,Approve / Somewhat Approve,Liberal,Own,Independent,[Democrat / Candidate 1]
37929,12,Male,64,4-Year,White,80k - 100k,Single / Never Married,Most of the time,Approve / Somewhat Approve,Very Liberal,Rent,Democrat,[Democrat / Candidate 1]
37934,7,Male,75,4-Year,White,40k - 50k,Married,Most of the time,Strongly Disapprove,Conservative,Own,Republican,[Republican / Candidate 2]
37935,12,Male,58,Post-Grad,White,150k+,Married,Most of the time,Strongly Approve,Liberal,Own,Independent,[Democrat / Candidate 1]
37937,2,Male,84,Post-Grad,White,100k - 120k,Widowed,Most of the time,Disapprove / Somewhat Disapprove,Moderate,Other,Independent,[Republican / Candidate 2]
37941,13,Male,74,Post-Grad,White,100k - 120k,Domestic Partnership,Most of the time,Strongly Approve,Very Liberal,Own,Democrat,[Democrat / Candidate 1]
37946,15,Male,85,Post-Grad,Other,150k+,Married,Most of the time,Strongly Disapprove,Very Conservative,Own,Independent,[Republican / Candidate 2]
37952,8,Male,72,4-Year,White,120k - 150k,Married,Most of the time,Approve / Somewhat Approve,Liberal,Own,Democrat,[Democrat / Candidate 1]
37953,5,Male,73,Post-Grad,White,120k - 150k,Domestic Partnership,Most of the time,Approve / Somewhat Approve,Moderate,Own,Other,[Democrat / Candidate 1]
37960,15,Female,67,4-Year,Middle Eastern,120k - 150k,Married,Most of the time,Strongly Approve,Liberal,Own,Democrat,[Democrat / Candidate 1]
37963,35,Female,36,4-Year,White,60k - 70k,Single / Never Married,Most of the time,Approve / Somewhat Approve,Liberal,Rent,Democrat,[Democrat / Candidate 1]
37964,50,Female,59,Post-Grad,White,10k - 20k,Divorced,Some of the time,Strongly Approve,Very Liberal,Rent,Democrat,[Democrat / Candidate 1]
37965,12,Female,80,4-Year,White,50k - 60k,Widowed,Most of the time,Strongly Approve,Liberal,Own,Democrat,[Democrat / Candidate 1]
37966,50,Female,73,Post-Grad,White,30k - 40k,Single / Never Married,Some of the time,Strongly Approve,Moderate,Own,Democrat,[Democrat / Candidate 1]
37968,8,Male,82,Some College,Native American,40k - 50k,Widowed,Most of the time,Strongly Disapprove,Very Conservative,Own,Republican,[Republican / Candidate 2]
37969,8,Male,56,Post-Grad,White,150k+,Married,Most of the time,Disapprove / Somewhat Disapprove,Conservative,Own,Republican,[Republican / Candidate 2]
37970,1,Male,68,No HS,White,Prefer not to say,Divorced,Some of the time,Strongly Disapprove,Very Conservative,Own,Republican,[Republican / Candidate 2]
37971,15,Female,60,Some College,White,120k - 150k,Married,Some of the time,Approve / Somewhat Approve,Liberal,Own,Democrat,[Democrat / Candidate 1]
37972,33,Male,68,High School Graduate,White,150k+,Married,Most of the time,Strongly Disapprove,Very Conservative,Rent,Other,[Republican / Candidate 2]
37973,50,Male,76,4-Year,White,100k - 120k,Married,Most of the time,Strongly Disapprove,Conservative,Own,Republican,[Republican / Candidate 2]
37974,39,Male,52,4-Year,White,50k - 60k,Single / Never Married,Most of the time,Strongly Disapprove,Conservative,Own,Independent,[Republican / Candidate 2]
37975,5,Male,69,Some College,White,120k - 150k,Married,Most of the time,Strongly Disapprove,Conservative,Own,Republican,[Republican / Candidate 2]
37977,50,Male,63,2-Year,White,120k - 150k,Married,Most of the time,Strongly Disapprove,Conservative,Own,Republican,[Republican / Candidate 2]
37978,11,Male,63,Post-Grad,Mixed,80k - 100k,Married,Most of the time,Strongly Disapprove,Conservative,Own,Independent,[Republican / Candidate 2]
37981,17,Male,66,4-Year,White,120k - 150k,Married,Most of the time,Strongly Disapprove,Conservative,Own,Republican,[Republican / Candidate 2]
37982,36,Male,61,4-Year,White,50k - 60k,Single / Never Married,Some of the time,Strongly Approve,Moderate,Rent,Democrat,[Democrat / Candidate 1]
37983,52,Male,55,High School Graduate,White,50k - 60k,Divorced,Most of the time,Approve / Somewhat Approve,Moderate,Rent,Independent,[Democrat / Candidate 1]
37984,16,Male,58,Some College,Other,70k - 80k,Divorced,Most of the time,Strongly Disapprove,Moderate,Own,Independent,[Republican / Candidate 2]
37985,32,Male,57,Some College,White,80k - 100k,Domestic Partnership,Most of the time,Strongly Approve,Very Liberal,Rent,Democrat,[Democrat / Candidate 1]
37986,46,Female,42,2-Year,White,60k - 70k,Married,Most of the time,Approve / Somewhat Approve,Very Liberal,Own,Democrat,[Democrat / Candidate 1]
37987,8,Male,60,High School Graduate,White,20k - 30k,Married,Most of the time,Strongly Approve,Moderate,Own,Democrat,[Democrat / Candidate 1]
37989,46,Female,29,Some College,White,30k - 40k,Single / Never Married,Most of the time,Strongly Approve,Very Liberal,Rent,Democrat,[Democrat / Candidate 1]
37991,1,Male,42,Some College,White,30k - 40k,Single / Never Married,Most of the time,Approve / Somewhat Approve,Liberal,Rent,Independent,[Democrat / Candidate 1]
37992,38,Female,55,4-Year,Hispanic,20k - 30k,Single / Never Married,Most of the time,Strongly Approve,Liberal,Other,Democrat,[Democrat / Candidate 1]
37994,42,Female,57,2-Year,White,100k - 120k,Divorced,Some of the time,Strongly Disapprove,Conservative,Rent,Republican,[Republican / Candidate 2]
37995,12,Male,66,2-Year,Black,150k+,Married,Some of the time,Strongly Approve,Liberal,Rent,Democrat,[Democrat / Candidate 1]
37996,12,Male,47,4-Year,White,150k+,Married,Most of the time,Approve / Somewhat Approve,Not Sure,Rent,Independent,[Democrat / Candidate 1]
37997,29,Male,48,Post-Grad,White,10k - 20k,Single / Never Married,Most of the time,Strongly Approve,Very Liberal,Rent,Democrat,[Democrat / Candidate 1]
37998,52,Male,64,4-Year,White,10k - 20k,Single / Never Married,Most of the time,Approve / Somewhat Approve,Liberal,Rent,Democrat,[Democrat / Candidate 1]
37999,7,Male,52,4-Year,White,150k+,Married,Most of the time,Disapprove / Somewhat Disapprove,Very Conservative,Own,Republican,[Republican / Candidate 2]
38000,4,Female,71,Some College,White,20k - 30k,Separated,Some of the time,Strongly Disapprove,Moderate,Own,Independent,[Republican / Candidate 2]
38001,19,Female,79,Some College,White,80k - 100k,Married,Most of the time,Strongly Disapprove,Conservative,Own,Independent,[Republican / Candidate 2]
38002,24,Male,83,Some College,White,70k - 80k,Married,Most of the time,Strongly Disapprove,Very Conservative,Own,Republican,[Republican / Candidate 2]
38003,16,Male,67,2-Year,White,70k - 80k,Married,Most of the time,Strongly Disapprove,Liberal,Own,Independent,[Republican / Candidate 2]
38006,9,Male,70,2-Year,Black,Prefer not to say,Domestic Partnership,Most of the time,Disapprove / Somewhat Disapprove,Liberal,Own,Independent,[Democrat / Candidate 1]
38008,30,Female,66,Some College,White,150k+,Single / Never Married,Most of the time,Strongly Approve,Liberal,Own,Democrat,[Democrat / Candidate 1]
38009,3,Male,20,Some College,Asian,Less than 10k,Single / Never Married,Some of the time,Approve / Somewhat Approve,Liberal,Rent,Democrat,[Democrat / Candidate 1]
38010,28,Female,58,4-Year,White,80k - 100k,Married,Most of the time,Strongly Approve,Very Liberal,Rent,Democrat,[Democrat / Candidate 1]
38011,33,Female,28,Post-Grad,Asian,Prefer not to say,Single / Never Married,Some of the time,Approve / Somewhat Approve,Liberal,Rent,Democrat,[Democrat / Candidate 1]
38012,12,Male,64,2-Year,White,30k - 40k,Single / Never Married,Most of the time,Strongly Approve,Liberal,Rent,Democrat,[Democrat / Candidate 1]
38013,41,Female,59,2-Year,White,10k - 20k,Single / Never Married,Some of the time,Strongly Approve,Liberal,Rent,Democrat,[Democrat / Candidate 1]
38017,18,Male,52,Post-Grad,Asian,80k - 100k,Married,Some of the time,Strongly Disapprove,Conservative,Own,Independent,[Republican / Candidate 2]
38018,37,Male,44,4-Year,Other,70k - 80k,Married,Most of the time,Strongly Approve,Liberal,Rent,Democrat,[Democrat / Candidate 1]
38019,26,Female,61,4-Year,White,80k - 100k,Divorced,Don't Know,Strongly Disapprove,Moderate,Own,Independent,[Republican / Candidate 2]
38020,44,Female,64,4-Year,White,120k - 150k,Single / Never Married,Most of the time,Approve / Somewhat Approve,Liberal,Own,Democrat,[Democrat / Candidate 1]
38021,53,Male,57,Post-Grad,White,80k - 100k,Married,Most of the time,Strongly Disapprove,Conservative,Own,Independent,[Republican / Candidate 2]
38022,7,Female,79,Some College,Black,40k - 50k,Widowed,Most of the time,Approve / Somewhat Approve,Moderate,Own,Democrat,[Democrat / Candidate 1]
38023,42,Female,82,2-Year,White,60k - 70k,Widowed,Most of the time,Strongly Approve,Very Liberal,Own,Democrat,[Democrat / Candidate 1]
38024,26,Male,82,4-Year,White,100k - 120k,Married,Most of the time,Approve / Somewhat Approve,Liberal,Own,Democrat,[Democrat / Candidate 1]
38025,36,Female,69,High School Graduate,Hispanic,70k - 80k,Married,Most of the time,Strongly Disapprove,Very Conservative,Own,Republican,[Republican / Candidate 2]
38026,53,Male,54,Post-Grad,White,150k+,Separated,Most of the time,Strongly Approve,Liberal,Rent,Independent,[Democrat / Candidate 1]
38027,26,Male,56,4-Year,White,Prefer not to say,Married,Most of the time,Strongly Approve,Very Liberal,Own,Democrat,[Democrat / Candidate 1]
38028,12,Female,51,Post-Grad,White,150k+,Single / Never Married,Most of the time,Approve / Somewhat Approve,Moderate,Rent,Independent,[Republican / Candidate 2]
38029,36,Male,86,Post-Grad,White,100k - 120k,Married,Most of the time,Strongly Approve,Very Liberal,Own,Democrat,[Democrat / Candidate 1]
38030,5,Male,72,Some College,White,60k - 70k,Widowed,Most of the time,Strongly Disapprove,Moderate,Own,Republican,[Republican / Candidate 2]
38031,12,Male,30,4-Year,White,50k - 60k,Single / Never Married,Most of the time,Approve / Somewhat Approve,Very Liberal,Rent,Independent,[Democrat / Candidate 1]
38033,49,Male,73,Post-Grad,White,150k+,Married,Most of the time,Strongly Disapprove,Conservative,Own,Republican,[Republican / Candidate 2]
38035,44,Female,61,Post-Grad,Black,120k - 150k,Married,Some of the time,Approve / Somewhat Approve,Moderate,Own,Democrat,[Democrat / Candidate 1]
